gen,social_strat,N,mean_move,mean_assoc,mean_intake,prop_infec,repl,cost,regen,local,infect_percent,prop,gen_bin,gen_abs
320,agent tracking,488,25.094262295082,13639.6823770492,15.289933883753,0,1,0.25,50,1,0,0.976,300,-2700
320,handler tracking,10,34.8,4380.7,13.4009994506836,0,1,0.25,50,1,0,0.02,300,-2700
320,non-handler tracking,2,54,335.5,9.50099968910217,0,1,0.25,50,1,0,0.004,300,-2700
325,agent tracking,486,24.1069958847737,13793.4855967078,15.5421517163188,0,1,0.25,50,1,0,0.972,300,-2700
325,non-handler tracking,7,34.1428571428571,9050.42857142857,13.5724280902318,0,1,0.25,50,1,0,0.014,300,-2700
325,handler tracking,7,32.7142857142857,784.857142857143,13.858142375946,0,1,0.25,50,1,0,0.014,300,-2700
330,agent tracking,475,22.9073684210526,13623.0589473684,15.773631029631,0,1,0.25,50,1,0,0.95,300,-2700
330,non-handler tracking,14,56.5714285714286,2414.78571428571,8.8581425225462,0,1,0.25,50,1,0,0.028,300,-2700
330,handler tracking,10,57,1051.3,8.80099960565567,0,1,0.25,50,1,0,0.02,300,-2700
330,agent avoiding,1,44,60,12.0009994506836,0,1,0.25,50,1,0,0.002,300,-2700
335,agent tracking,490,23.8795918367347,14151.912244898,15.5948770046234,0,1,0.25,50,1,0,0.98,300,-2700
335,handler tracking,7,47.2857142857143,2701.71428571429,11.0009995358331,0,1,0.25,50,1,0,0.014,300,-2700
335,non-handler tracking,3,58,4175,8.66766627629598,0,1,0.25,50,1,0,0.006,300,-2700
340,agent tracking,486,23.5534979423868,13757.2818930041,15.6614932789745,0,1,0.25,50,1,0,0.972,300,-2700
340,non-handler tracking,3,57.3333333333333,2233,9.33433310190837,0,1,0.25,50,1,0,0.006,300,-2700
340,handler tracking,11,51.4545454545455,661.181818181818,10.0919086716392,0,1,0.25,50,1,0,0.022,300,-2700
345,agent tracking,488,24.1639344262295,14995.1331967213,15.5829666659012,0,1,0.25,50,1,0,0.976,300,-2700
345,handler tracking,7,40.7142857142857,933.714285714286,12.1438566786902,0,1,0.25,50,1,0,0.014,300,-2700
345,non-handler tracking,5,66.4,1103,6.80099975129124,0,1,0.25,50,1,0,0.01,300,-2700
350,agent tracking,488,24.4262295081967,14741.0327868852,15.5112453552543,0,1,0.25,50,1,0,0.976,300,-2700
